,Timestamp,BTCPrice
154,1641998700000,43811.2112392277799308
155,1641999600000,43885.3518876831137447
156,1642000500000,43960.3334582832495297
157,1642001400000,43852.8631688295026626
158,1642002300000,43587.1000901038791663
159,1642003200000,43594.3195828327889253
160,1642004100000,43551.4192138712674792
161,1642005000000,43564.4955458795111636
162,1642005900000,43682.8175747421199647
163,1642006800000,43650.5536319749758814
164,1642007700000,43608.1229841470022251
165,1642008600000,43763.1869677034635978
166,1642009500000,43780.2211520333654162
167,1642010400000,43888.9666015352397788
168,1642011300000,43869.3328929484071038
169,1642012200000,43921.8182396380674679
170,1642013100000,43783.7948990569061993
171,1642014000000,43695.0590408135866572
172,1642014900000,43671.3439629970080150
173,1642015800000,43754.4698253208771236
174,1642016700000,43706.7730054639341490
175,1642017600000,43818.1831291653715021
176,1642018500000,43804.9576451831240981
177,1642019400000,43811.8107587122611713
178,1642020300000,43804.1707969553143910
179,1642021200000,43982.6756745561495282
180,1642022100000,44039.5948249430765762
181,1642023000000,44197.8738292500518384
182,1642023900000,43943.8865221639399139
183,1642024800000,43917.5723133081217655
184,1642025700000,43909.3408399866777321
185,1642026600000,43966.8687364109737402
186,1642027500000,43985.5272857213412793
187,1642028400000,43922.9601902211991543
188,1642029300000,43977.4401941369065807
189,1642030200000,43996.6225546451353819
190,1642031100000,44064.1102534814269016
191,1642032000000,43978.9405790420052699
192,1642032900000,44011.9340672616614033
193,1642033800000,43943.9981886032637175
194,1642034700000,43885.8092244906000955
195,1642035600000,43752.1255724618979045
196,1642036500000,43777.2097223543789729
197,1642037400000,43728.0004717544488161
198,1642038300000,43634.5260102163739500
199,1642039200000,43599.6978152284077616
200,1642040100000,43662.1307100243891104
201,1642041000000,43691.6627964574462604
202,1642041900000,43725.0539305347225857
203,1642042800000,43630.4724473014739599
204,1642043700000,43588.5261170597104058
205,1642044600000,43521.8568033501360604
206,1642045500000,43563.7649639738964297
207,1642046400000,43594.1336307828424090
208,1642047300000,43645.0714225665631625
209,1642048200000,43710.6828030458350563
210,1642049100000,43740.0770239793851224
211,1642050000000,43686.8229968029574997
212,1642050900000,43634.1596887773718027
213,1642051800000,43675.5168030817070175
214,1642052700000,43740.0931356615481924
215,1642053600000,43751.0106861853936163
216,1642054500000,43755.1041985885793423
217,1642055400000,43807.9983617154070648
218,1642056300000,43812.2051773194891409
219,1642057200000,43718.8902178083014783
220,1642058100000,43754.0213942528774687
221,1642059000000,43793.6348882756360830
222,1642059900000,43672.9994410150268357
223,1642060800000,43693.4240476832421859
224,1642061700000,43772.1896256535933985
225,1642062600000,43865.7714690316948375
226,1642063500000,43872.9378279691007680
227,1642064400000,43880.8073869865751152
228,1642065300000,43819.3286068583395256
229,1642066200000,43829.4116302281022043
230,1642067100000,43910.4191676657496238
231,1642068000000,43882.2149388960432155
232,1642068900000,44029.4666795822470104
233,1642069800000,43957.0108042862533933
234,1642070700000,43909.9269624882904316
235,1642071600000,43866.7483151793039823
236,1642072500000,43758.8238466000909081
237,1642073400000,43611.6305460461616409
238,1642074300000,43726.2972855086595904
239,1642075200000,43667.1859598321004509
240,1642076100000,43788.4342053778415800
241,1642077000000,43778.8219932036481483
242,1642077900000,43787.9607594958917236
243,1642078800000,43808.3090949985914542
244,1642079700000,43763.1383446403649039
245,1642080600000,43730.7519084172465390
246,1642081500000,43860.8706631713918133
247,1642082400000,43918.1443911964453892
248,1642083300000,44001.7448720610949073
249,1642084200000,44171.5162134211394610
250,1642085100000,44336.0313367228802265
251,1642086000000,44160.6447871977330881
252,1642086900000,44167.5113135749423294
253,1642087800000,43589.2031989414728809
254,1642088700000,43255.9755595595920925
255,1642089600000,42963.3467850408830894
256,1642090500000,43388.0625356984137186
257,1642091400000,43289.4422161583488427
258,1642092300000,43380.4684999540821999
259,1642093200000,43286.4786570483043684
260,1642094100000,43168.3576100493786711
261,1642095000000,42743.1554667063370286
262,1642095900000,42899.4370580462922120
263,1642096800000,42752.0393606935416384
264,1642097700000,42929.3903136159784506
265,1642098600000,42954.9946576819218004
266,1642099500000,42905.2236275300165587
267,1642100400000,42820.5834384071961168
268,1642101300000,42827.2831347803069386
269,1642102200000,42716.9631747954341622
270,1642103100000,42672.7825115657307013
271,1642104000000,42741.4925496500943656
272,1642104900000,42433.6275857901839965
273,1642105800000,42573.8811612002332595
274,1642106700000,42593.4854942010368118
275,1642107600000,42669.3333208434070186
276,1642108500000,42742.6076973415056005
277,1642109400000,42877.3751598508750873
278,1642110300000,42834.9328640820274604
279,1642111200000,42830.7853836637740646
280,1642112100000,42824.3629601709105040
281,1642113000000,42861.5784956646374870
282,1642113900000,42600.4544197691597993
283,1642114800000,42644.3912310487320422
284,1642115700000,42719.9031988681096386
285,1642116600000,42637.7083038838174707
286,1642117500000,42709.8367076191598788
287,1642118400000,42560.5411891779009444
